#HF transmitted power data for 2017-06-26
#HH:MM:SS.SSS, Tx1 , Rx1  , Tx2  , Rx2  , Tx3  , Rx3  , Tx4  , Rx4  , Tx5  , Rx5  , Tx6  , Rx6  , time to take sample

14:09:03.797,      ,000957,      ,000341,      ,000292,      ,000603,      ,000649,      ,000467,0.61265
14:09:04.825,      ,000970,      ,000342,      ,000181,      ,000607,      ,000651,      ,000465,0.60539
14:09:05.852,      ,000977,      ,000346,      ,000183,      ,000603,      ,000648,      ,000462,0.60634
14:09:06.886,      ,000697,      ,000346,      ,000179,      ,000572,      ,000654,      ,000806,0.62386
14:09:07.919,      ,000946,      ,000335,      ,000173,      ,000600,      ,000650,      ,000479,0.60620
14:09:08.941,      ,000689,      ,000332,      ,000177,      ,001007,      ,000650,      ,000781,0.65551
14:09:09.993,      ,000982,      ,000332,      ,000178,      ,000603,      ,000362,      ,000726,0.62916
14:09:11.034,      ,000975,      ,000335,      ,000172,      ,000596,      ,000649,      ,000471,0.60832
14:09:12.069,      ,000945,      ,000329,      ,000279,      ,000999,      ,000364,      ,000787,0.63378
14:09:13.118,      ,000687,      ,000338,      ,000172,      ,000594,      ,000646,      ,000471,0.62381
14:09:14.139,      ,000823,      ,000332,      ,000175,      ,000591,      ,000647,      ,000801,0.63433
14:09:15.176,      ,000958,      ,000080,      ,000281,      ,000594,      ,000367,      ,000491,0.62949
14:09:16.207,      ,000951,      ,000327,      ,000167,      ,000591,      ,000641,      ,000469,0.60449
14:09:17.239,      ,000954,      ,000336,      ,000172,      ,000593,      ,000646,      ,000656,0.61164
14:09:18.270,      ,000954,      ,000332,      ,000173,      ,000595,      ,000645,      ,000472,0.60790
